Initial Model - Profile Train (num_workers=0, batch_size=64)

Time:
===============
Overall Time: 207.61137533299998s
	Total train Time: 20.929855869000008s
	Total validation Time: 5.792422294000005s
	Total test Time: 1.285886349000009s
	Train Time per epoch: 20.929855869000008s
	Validation per epoch: 5.792422294000005s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     cudaGetDeviceCount         0.01%       3.652ms         0.01%       3.652ms     730.400us       7.000us         0.00%       7.000us       1.400us           0 b           0 b           0 b           0 b             5  
                                cudaGetDeviceProperties         0.00%     370.000us         0.00%     370.000us     123.333us       3.000us         0.00%       4.000us       1.333us           0 b           0 b           0 b           0 b             3  
                                               aten::to         0.06%      19.107ms        18.53%        5.610s     628.323us       0.000us         0.00%      36.336ms       4.069us      91.26 Kb       2.32 Kb     174.48 Mb     144.00 Kb          8929  
                                         aten::_to_copy         0.11%      31.848ms        18.48%        5.595s       1.114ms       0.000us         0.00%      36.399ms       7.246us      96.25 Kb       5.45 Kb     174.48 Mb           0 b          5023  
                                    aten::empty_strided         0.20%      59.699ms         0.93%     280.768ms      22.458us       0.000us         0.00%       6.000us       0.000us      86.12 Kb      86.12 Kb      71.38 Gb      71.38 Gb         12502  
                                  cudaStreamIsCapturing         0.73%     220.439ms         0.73%     220.439ms     124.051us       1.083ms         0.00%       1.083ms       0.609us           0 b           0 b           0 b           0 b          1777  
                                             cudaMalloc         0.02%       5.944ms         0.02%       5.944ms     228.615us      30.000us         0.00%      30.000us       1.154us           0 b           0 b           0 b           0 b            26  
                                            aten::copy_         0.19%      57.112ms        18.12%        5.486s     662.167us     227.112ms         0.92%     227.930ms      27.511us       4.31 Kb     -16.06 Kb           0 b           0 b          8285  
