Optimized Model 1 - Profile Train (num_workers=0, batch_size=128)

Time:
===============
Overall Time: 148.542382768s
	Total train Time: 31.317121920999995s
	Total validation Time: 2.7058704049999847s
	Total test Time: 2.316272055000013s
	Train Time per epoch: 31.317121920999995s
	Validation per epoch: 2.7058704049999847s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     cudaGetDeviceCount         0.01%       3.658ms         0.01%       3.658ms     914.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamIsCapturing         0.00%       1.053ms         0.00%       1.069ms       1.186us     277.688ms         0.46%     277.688ms     308.200us           0 b           0 b    -432.75 Mb    -433.06 Mb           901  
                                cudaGetDeviceProperties         0.00%     412.000us         0.00%     412.000us     137.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                               aten::to         0.02%       9.884ms         2.73%        1.177s     262.745us       0.000us         0.00%      36.059ms       8.051us      83.23 Kb        -932 b     174.40 Mb         512 b          4479  
                                         aten::_to_copy         0.03%      11.310ms         2.71%        1.169s     463.717us       0.000us         0.00%      37.266ms      14.788us      90.17 Kb       4.48 Kb     174.40 Mb     -14.35 Mb          2520  
                                    aten::empty_strided         0.07%      28.530ms         0.07%      29.440ms       4.695us       0.000us         0.00%       2.000us       0.000us      76.89 Kb      76.89 Kb      35.92 Gb      35.92 Gb          6271  
                                             cudaMalloc         0.01%       5.961ms         0.01%       5.961ms     220.778us       9.000us         0.00%       9.000us       0.333us           0 b           0 b           0 b           0 b            27  
                                            aten::copy_         0.13%      54.857ms         2.95%        1.271s     282.978us     435.800ms         0.73%     438.802ms      97.663us       2.04 Kb     -18.83 Kb           0 b           0 b          4493  
