Optimized Model 2 (Structured) - Profile Train (num_workers=0, batch_size=128, structured pruning)

Time:
===============
Overall Time: 123.48534356300024s
	Total train Time: 14.698042675000579s
	Total validation Time: 2.1035821969999233s
	Total test Time: 0.9652310510000461s
	Train Time per epoch: 14.698042675000579s
	Validation per epoch: 2.1035821969999233s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.09%      13.252ms         0.91%     141.530ms      25.794us       0.000us         0.00%     127.179ms      23.178us      79.39 Kb      -8.31 Kb     306.86 Mb     271.00 Kb          5487  
                                         aten::_to_copy         0.09%      13.783ms         0.84%     130.229ms      51.555us       0.000us         0.00%     127.249ms      50.376us      90.15 Kb       2.18 Kb     306.86 Mb           0 b          2526  
                                    aten::empty_strided         0.19%      28.983ms         0.19%      28.983ms       4.617us       0.000us         0.00%       0.000us       0.000us      82.24 Kb      82.24 Kb      36.05 Gb      36.05 Gb          6277  
                                            aten::copy_         0.31%      47.303ms         2.28%     353.583ms      60.576us     350.947ms         1.66%     512.007ms      87.717us       5.41 Kb     -14.80 Kb           0 b           0 b          5837  
                                        cudaMemcpyAsync        24.08%        3.727s        24.08%        3.727s     154.218us     378.004ms         1.78%     378.004ms      15.641us           0 b           0 b           0 b           0 b         24167  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      59.157ms         0.28%      59.157ms     321.505us           0 b           0 b           0 b           0 b           184  
                                  cudaStreamSynchronize        39.66%        6.139s        39.66%        6.139s     272.526us     446.769ms         2.11%     446.769ms      19.833us           0 b           0 b           0 b           0 b         22527  
                aten::_has_compatible_shallow_copy_type         0.00%       1.000us         0.00%       1.000us       0.045us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
