Optimized Model 2 - Profile Train (num_workers=0, batch_size=128, pruning)

Time:
===============
Overall Time: 130.47057920400016s
	Total train Time: 14.9970645410001s
	Total validation Time: 1.6051469620001626s
	Total test Time: 1.045002944999851s
	Train Time per epoch: 14.9970645410001s
	Validation per epoch: 1.6051469620001626s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.11%      16.350ms         0.75%     116.624ms      26.038us       0.000us         0.00%      36.115ms       8.063us      87.45 Kb       7.43 Kb     174.40 Mb     275.50 Kb          4479  
                                         aten::_to_copy         0.11%      17.467ms         0.67%     103.630ms      41.123us       0.000us         0.00%      36.194ms      14.363us      90.16 Kb         424 b     174.40 Mb           0 b          2520  
                                    aten::empty_strided         0.20%      30.662ms         0.20%      30.662ms       4.889us       0.000us         0.00%       0.000us       0.000us      84.07 Kb      84.07 Kb      35.92 Gb      35.92 Gb          6271  
                                            aten::copy_         0.25%      38.813ms         1.42%     221.139ms      49.219us     227.855ms         1.09%     228.621ms      50.884us       4.80 Kb     -15.08 Kb           0 b           0 b          4493  
                                        cudaMemcpyAsync        23.18%        3.607s        23.18%        3.607s     158.031us     362.194ms         1.73%     362.194ms      15.870us           0 b           0 b           0 b           0 b         22823  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      30.150ms         0.14%      30.150ms     169.382us           0 b           0 b           0 b           0 b           178  
                                  cudaStreamSynchronize        39.29%        6.115s        39.29%        6.115s     271.625us     181.559ms         0.87%     181.559ms       8.065us           0 b           0 b           0 b           0 b         22511  
                aten::_has_compatible_shallow_copy_type         0.00%       1.000us         0.00%       1.000us       0.045us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
